"Iron Gauntlets","철제 건틀릿"
"Plated Gauntlets","판금 건틀릿"
"Bronze Gauntlets","청동 건틀릿"
"Steel Gauntlets","강철 건틀릿"
"Antique Gauntlets","앤티크 건틀릿"
"Ancient Gauntlets","고대의 건틀릿"
"Goliath Gauntlets","거인 건틀릿"
"Vaal Gauntlets","바알 건틀릿"
"Titan Gauntlets","거신 건틀릿"
"Taxing Gauntlets","고된 건틀릿"
"Gruelling Gauntlets","가혹한 건틀릿"
"Debilitation Gauntlets","쇠약 건틀릿"
"Rawhide Gloves","생가죽 장갑"
"Goathide Gloves","염소가죽 장갑"
"Deerskin Gloves","사슴가죽 장갑"
"Nubuck Gloves","소가죽 장갑"
"Eelskin Gloves","장어가죽 장갑"
"Sharkskin Gloves","상어가죽 장갑"
"Shagreen Gloves","거친 생가죽 장갑"
"Stealth Gloves","은신 장갑"
"Slink Gloves","송아지 가죽 장갑"
"Gauche Gloves","서툰 장갑"
"Southswing Gloves","남향 장갑"
"Sinistral Gloves","왼편 장갑"
"Wool Gloves","양모 장갑"
"Velvet Gloves","벨벳 장갑"
"Silk Gloves","실크 장갑"
"Embroidered Gloves","수놓은 장갑"
"Satin Gloves","새틴 장갑"
"Samite Gloves","금실 장갑"
"Conjurer Gloves","요술사 장갑"
"Arcanist Gloves","신비학자의 장갑"
"Sorcerer Gloves","악령술사 장갑"
"Leyline Gloves","지맥 장갑"
"Aetherwind Gloves","에테르 바람 장갑"
"Nexus Gloves","연결부 장갑"
"Fishscale Gauntlets","생선 비늘 건틀릿"
"Ironscale Gauntlets","철제 비늘 건틀릿"
"Bronzescale Gauntlets","청동 비늘 건틀릿"
"Steelscale Gauntlets","강철 비늘 건틀릿"
"Serpentscale Gauntlets","뱀 비늘 건틀릿"
"Wyrmscale Gauntlets","아룡 비늘 건틀릿"
"Hydrascale Gauntlets","히드라 비늘 건틀릿"
"Dragonscale Gauntlets","용 비늘 건틀릿"
"Chain Gloves","사슬 장갑"
"Ringmail Gloves","고리 장갑"
"Mesh Gloves","망사 장갑"
"Riveted Gloves","고정못 장갑"
"Zealot Gloves","맹신자 장갑"
"Soldier Gloves","병사 장갑"
"Legion Gloves","군단 장갑"
"Crusader Gloves","십자군 장갑"
"Wrapped Mitts","스트랩형 미트"
"Strapped Mitts","끈 미트"
"Clasped Mitts","버클 미트"
"Trapper Mitts","덫사냥꾼 미트"
"Ambush Mitts","매복 미트"
"Carnal Mitts","육욕의 미트"
"Assassin's Mitts","암살자의 미트"
"Murder Mitts","살인자의 미트"
"Golden Bracers","황금 팔보호구"
"Spiked Gloves","가시 장갑"
"Gripped Gloves","움켜쥔 장갑"
"Fingerless Silk Gloves","손가락 없는 실크 장갑"
"Apothecary's Gloves","약제상의 장갑"
"Runic Gloves","룬 장갑"
"Runic Gages","룬 손 보호대"
"Runic Gauntlets","룬 건틀릿"
"Iron Greaves","철제 각반"
"Steel Greaves","강철 각반"
"Plated Greaves","판금 각반"
"Reinforced Greaves","강화 각반"
"Antique Greaves","앤티크 각반"
"Ancient Greaves","고대 각반"
"Goliath Greaves","거인 각반"
"Vaal Greaves","바알 각반"
"Titan Greaves","거신 각반"
"Basemetal Treads","일반 금속 발 보호대"
"Darksteel Treads","검은 강철 발 보호대"
"Brimstone Treads","유황 발 보호대"
"Kaom's Greaves","카옴의 각반"
"Rawhide Boots","생가죽 장화"
"Goathide Boots","염소가죽 장화"
"Deerskin Boots","사슴가죽 장화"
"Nubuck Boots","소가죽 장화"
"Eelskin Boots","장어가죽 장화"
"Sharkskin Boots","상어가죽 장화"
"Shagreen Boots","거친 생가죽 장화"
"Stealth Boots","은신 장화"
"Slink Boots","송아지 가죽 장화"
"Cloudwhisper Boots","구름속삭임 장화"
"Windbreak Boots","바람가름 장화"
"Stormrider Boots","태풍의 기수 장화"
"Wool Shoes","양모 신발"
"Velvet Slippers","벨벳 슬리퍼"
"Silk Slippers","실크 슬리퍼"
"Scholar Boots","학자 장화"
"Satin Slippers","새틴 슬리퍼"
"Samite Slippers","금실 슬리퍼"
"Conjurer Boots","요술사 장화"
"Arcanist Slippers","신비학자의 슬리퍼"
"Sorcerer Boots","악령술사 장화"
"Duskwalk Slippers","황혼걸음 슬리퍼"
"Nightwind Slippers","밤바람 슬리퍼"
"Dreamquest Slippers","꿈의 정벌 슬리퍼"
"Leatherscale Boots","가죽 비늘 장화"
"Ironscale Boots","철제 비늘 장화"
"Bronzescale Boots","청동 비늘 장화"
"Steelscale Boots","강철 비늘 장화"
"Serpentscale Boots","뱀 비늘 장화"
"Wyrmscale Boots","아룡 비늘 장화"
"Hydrascale Boots","히드라 비늘 장화"
"Dragonscale Boots","용 비늘 장화"
"Chain Boots","사슬 장화"
"Ringmail Boots","고리 장화"
"Mesh Boots","망사 장화"
"Riveted Boots","고정못 장화"
"Zealot Boots","맹신자 장화"
"Soldier Boots","병사 장화"
"Legion Boots","군단 장화"
"Crusader Boots","십자군 장화"
"Wrapped Boots","스트랩형 장화"
"Strapped Boots","끈 장화"
"Clasped Boots","버클 장화"
"Shackled Boots","섀클 장화"
"Trapper Boots","덫사냥꾼 장화"
"Ambush Boots","매복 장화"
"Carnal Boots","육욕의 장화"
"Assassin's Boots","암살자의 장화"
"Murder Boots","살인자의 장화"
"Golden Caligae","황금 칼리가"
"Avian Slippers","새의 슬리퍼"
"Two-Toned Boots","두 가지 색 장화"
"Fugitive Boots","도망자 장화"
"Runic Greaves","룬 각반"
