"Iron Gauntlets",鐵鍛護手
"Plated Gauntlets",堅鐵護手
"Bronze Gauntlets",青銅護手
"Steel Gauntlets",冷鋼護手
"Antique Gauntlets",古鋼護手
"Ancient Gauntlets",遠古護手
"Goliath Gauntlets",巨靈護手
"Vaal Gauntlets",瓦爾護手
"Titan Gauntlets",巨人護手
"Taxing Gauntlets",負重護手
"Gruelling Gauntlets",疲乏護手
"Debilitation Gauntlets",衰弱護手
"Rawhide Gloves",生皮手套
"Goathide Gloves",羊皮手套
"Deerskin Gloves",鹿皮手套
"Nubuck Gloves",砂影手套
"Eelskin Gloves",鰻皮手套
"Sharkskin Gloves",鯊皮手套
"Shagreen Gloves",粗革手套
"Stealth Gloves",匿蹤手套
"Slink Gloves",迷蹤手套
"Gauche Gloves",粗糙手套
"Southswing Gloves",南翼手套
"Sinistral Gloves",左傾手套
"Wool Gloves",羊毛手套
"Velvet Gloves",絲絨手套
"Silk Gloves",絲綢手套
"Embroidered Gloves",刺繡手套
"Satin Gloves",緞布手套
"Samite Gloves",繡布手套
"Conjurer Gloves",咒者手套
"Arcanist Gloves",秘術手套
"Sorcerer Gloves",術士手套
"Leyline Gloves",荒野手套
"Aetherwind Gloves",乙太之風手套
"Nexus Gloves",核心手套
"Fishscale Gauntlets",魚鱗手套
"Ironscale Gauntlets",鐵影手套
"Bronzescale Gauntlets",銅影手套
"Steelscale Gauntlets",鋼影護手
"Serpentscale Gauntlets",蛇鱗手套
"Wyrmscale Gauntlets",蝮鱗手套
"Hydrascale Gauntlets",火蝮鱗手套
"Dragonscale Gauntlets",龍鱗手套
"Chain Gloves",鏈甲手套
"Ringmail Gloves",環甲手套
"Mesh Gloves",網眼手套
"Riveted Gloves",儀式手套
"Zealot Gloves",狂熱者手套
"Soldier Gloves",戰士手套
"Legion Gloves",軍團手套
"Crusader Gloves",聖戰手套
"Wrapped Mitts",裹趾護手
"Strapped Mitts",扣環護手
"Clasped Mitts",環帶護手
"Trapper Mitts",獵人護手
"Ambush Mitts",伏擊護手
"Carnal Mitts",禁禮護手
"Assassin's Mitts",刺殺者護手
"Murder Mitts",暗殺者護手
"Golden Bracers",黃金臂甲
"Spiked Gloves",釦釘手套
"Gripped Gloves",擒拿手套
"Fingerless Silk Gloves",魔指手套
"Apothecary's Gloves",靈藥手套
"Runic Gloves",魔符手套
"Runic Gages",魔符手環
"Runic Gauntlets",魔符護手
"Iron Greaves",鐵鍛脛甲
"Steel Greaves",冷鋼脛甲
"Plated Greaves",堅鐵脛甲
"Reinforced Greaves",強化脛甲
"Antique Greaves",古鋼脛甲
"Ancient Greaves",遠古脛甲
"Goliath Greaves",巨靈脛甲
"Vaal Greaves",瓦爾脛甲
"Titan Greaves",巨人脛甲
"Basemetal Treads",金屬鐵靴
"Darksteel Treads",暗鋼鐵靴
"Brimstone Treads",硫磺鐵靴
"Kaom's Greaves",岡姆脛甲
"Rawhide Boots",生皮短靴
"Goathide Boots",羊皮短靴
"Deerskin Boots",鹿皮短靴
"Nubuck Boots",砂影短靴
"Eelskin Boots",鰻皮短靴
"Sharkskin Boots",鯊皮短靴
"Shagreen Boots",粗革短靴
"Stealth Boots",匿蹤短靴
"Slink Boots",迷蹤短靴
"Cloudwhisper Boots",雲語短靴
"Windbreak Boots",風帳短靴
"Stormrider Boots",風暴者短靴
"Wool Shoes",羊毛之鞋
"Velvet Slippers",絲絨便鞋
"Silk Slippers",絲綢便鞋
"Scholar Boots",學者長靴
"Satin Slippers",緞布便鞋
"Samite Slippers",繡布便鞋
"Conjurer Boots",咒者長靴
"Arcanist Slippers",秘術便鞋
"Sorcerer Boots",術士長靴
"Duskwalk Slippers",暮色之行便鞋
"Nightwind Slippers",黑夜之風便鞋
"Dreamquest Slippers",幻夢之尋便鞋
"Leatherscale Boots",粗鱗皮靴
"Ironscale Boots",鐵影長靴
"Bronzescale Boots",銅影長靴
"Steelscale Boots",鋼影長靴
"Serpentscale Boots",蛇鱗長靴
"Wyrmscale Boots",地蝮鱗長靴
"Hydrascale Boots",火蝮鱗長靴
"Dragonscale Boots",龍鱗長靴
"Chain Boots",鏈甲長靴
"Ringmail Boots",環甲筒靴
"Mesh Boots",網眼長靴
"Riveted Boots",儀式短靴
"Zealot Boots",狂熱者長靴
"Soldier Boots",戰士之靴
"Legion Boots",軍團長靴
"Crusader Boots",聖戰長靴
"Wrapped Boots",裹趾涼鞋
"Strapped Boots",扣環短靴
"Clasped Boots",環帶長靴
"Shackled Boots",縛足長靴
"Trapper Boots",獵人之靴
"Ambush Boots",伏擊之靴
"Carnal Boots",禁禮之靴
"Assassin's Boots",刺殺者之靴
"Murder Boots",暗殺者長靴
"Golden Caligae",黃金纏鞋
"Avian Slippers",飛羽便鞋
"Two-Toned Boots",異色鞋
"Fugitive Boots",逃難短靴
"Runic Greaves",魔符脛甲
"Runic Sollerets",魔符長靴
"Runic Sabatons",魔符短靴
"Plate Vest",鐵製背心
Chestplate,胸甲
"Copper Plate",銅鍛板甲
"War Plate",戰爭之鎧
"Full Plate",連身鎧甲
"Arena Plate",鬥者之鎧
"Lordly Plate",領主護鎧
"Bronze Plate",青銅鎧甲
"Battle Plate",戰鎧
"Sun Plate",日光之鎧
"Colosseum Plate",決鬥之鎧
"Majestic Plate",莊嚴之鎧
"Golden Plate",金耀之鎧
"Crusader Plate",征戰重鎧
"Astral Plate",星芒戰鎧
"Gladiator Plate",角鬥重鎧
"Glorious Plate",榮耀戰鎧
"Kaom's Plate",岡姆的重鎧
"Shabby Jerkin",破舊外套
"Strapped Leather",扣環皮甲
"Buckskin Tunic",鹿皮外套
"Wild Leather",野性皮甲
"Full Leather",連身皮甲
"Sun Leather",日光皮甲
"Thief's Garb",竊賊之裝
"Eelskin Tunic",鰻皮之衣
"Frontier Leather",邊戍皮甲
"Glorious Leather",榮耀皮甲
"Coronal Leather",光耀皮甲
"Cutthroat's Garb",殘殺者之裝
"Sharkskin Tunic",鯊皮之衣
"Destiny Leather",命運皮甲
"Exquisite Leather",精製皮甲
"Zodiac Leather",星辰皮甲
"Assassin's Garb",刺殺者之裝
"Simple Robe",簡易之袍
"Silken Vest",綢緞背心
"Scholar's Robe",學者之袍
"Silken Garb",絲綢之衣
"Mage's Vestment",博學長衣
"Silk Robe",絲質之袍
"Cabalist Regalia",秘術法衣
"Sage's Robe",賢者之袍
"Silken Wrap",絲絨背心
"Conjurer's Vestment",咒者長衣
"Spidersilk Robe",蛛絲之袍
"Destroyer Regalia",滅世法衣
"Savant's Robe",智者之袍
"Necromancer Silks",操靈者背心
"Occultist's Vestment",秘術長衣
"Widowsilk Robe",毒蛛絲之袍
"Vaal Regalia",瓦爾法衣
"Scale Vest",細鱗背心
"Light Brigandine",輕鎖甲
"Scale Doublet",合身鱗甲
"Infantry Brigandine",步兵鎖甲
"Full Scale Armour",連身鱗甲
"Soldier's Brigandine",戰士鎖甲
"Field Lamellar",野戰薄甲
"Wyrmscale Doublet",龍鱗戰甲
"Hussar Brigandine",輕騎鎖甲
"Full Wyrmscale",連身龍鱗戰甲
"Commander's Brigandine",指揮者鎖甲
"Battle Lamellar",爭戰鱗甲
"Dragonscale Doublet",龍鱗護甲
"Desert Brigandine",荒野鎖鎧
"Full Dragonscale",連身龍鱗鎧
"General's Brigandine",將軍鎧甲
"Triumphant Lamellar",勝利盔甲
"Chainmail Vest",鎖鏈背心
"Chainmail Tunic",鏈甲外衣
"Ringmail Coat",環甲外套
"Chainmail Doublet",護體鎖甲
"Full Ringmail",連身環甲
"Full Chainmail",連身鎖甲
"Holy Chainmail",聖語鎖甲
"Latticed Ringmail",精製環甲
"Crusader Chainmail",聖戰鎖甲
"Ornate Ringmail",華麗環甲
"Chain Hauberk",鎖子長甲
"Devout Chainmail",虔誠鏈甲
"Loricated Ringmail",覆體環甲
"Conquest Chainmail",征戰鎖甲
"Elegant Ringmail",權貴環甲
"Saint's Hauberk",聖者鏈甲
"Saintly Chainmail",聖潔鎖甲
"Padded Vest",薄襯衣
"Oiled Vest",防水背心
"Padded Jacket",長袖棉襖
"Oiled Coat",防水外衣
"Scarlet Raiment",熾紅之衣
"Waxed Garb",蠟封束衣
"Bone Armour",骨製戰甲
"Quilted Jacket",菱紋外衣
"Sleek Coat",滑布外套
"Crimson Raiment",緋紅之衣
"Lacquered Garb",漆彩束衣
"Crypt Armour",地穴戰甲
"Sentinel Jacket",哨兵之衣
"Varnished Coat",映彩外套
"Blood Raiment",血色之衣
"Sadist Garb",狂虐者束衣
"Carnal Armour",禁禮之甲
"Sacrificial Garb",祭禮束衣
"Golden Mantle",黃金戰甲
"Grasping Mail",貪婪鎧甲
"Iron Hat",粗鐵盔
"Cone Helmet",錐頂盔
"Barbute Helmet",輕騎盔
"Close Helmet",護面盔
"Gladiator Helmet",角鬥者之盔
"Reaver Helmet",掠奪者之盔
"Siege Helmet",破城之盔
"Samnite Helmet",薩模柰堅盔
"Ezomyte Burgonet",艾茲麥堅盔
"Royal Burgonet",皇室堅盔
"Eternal Burgonet",永恆堅盔
"Leather Cap",皮帽
Tricorne,三角帽
"Leather Hood",革兜
"Wolf Pelt",狼首皮盔
"Hunter Hood",獵者之兜
"Noble Tricorne",貴族三角帽
"Ursine Pelt",熊首皮盔
"Silken Hood",綢緞之兜
"Sinner Tricorne",罪者之帽
"Lion Pelt",獅首皮盔
"Vine Circlet",藤蔓之冠
"Iron Circlet",鐵鍛之冠
"Torture Cage",刑罰頭籠
"Tribal Circlet",祭儀之冠
"Bone Circlet",靈骨之冠
"Lunaris Circlet",月影之冠
"Steel Circlet",冷鋼之冠
"Necromancer Circlet",操靈者之冠
"Solaris Circlet",日耀之冠
"Mind Cage",靈能之籠
"Hubris Circlet",靈主之環
"Battered Helm",殘破之盔
Sallet,輕鐵護盔
"Visored Sallet",清視護盔
"Gilded Sallet",金面護盔
"Secutor Helm",精兵之盔
"Fencer Helm",擊劍士之盔
"Lacquered Helmet",漆彩之盔
"Fluted Bascinet",全罩戰盔
"Pig-Faced Bascinet",豬面頭盔
"Nightmare Bascinet",夢魘戰盔
"Sorrow Mask",悲鳴面具
"Atonement Mask",贖罪面具
"Penitent Mask",懺悔面具
"Rusted Coif",鏽鐵鏈盔
"Soldier Helmet",士兵之盔
"Great Helmet",巨盔
"Crusader Helmet",聖戰之盔
"Aventail Helmet",戰意之盔
"Zealot Helmet",熱戰之盔
"Great Crown",強化巨盔
"Magistrate Crown",行政者戰冠
"Prophet Crown",箴言戰冠
"Praetor Crown",領主戰冠
"Imp Crown",妖怪邪冠
"Demon Crown",惡魔邪冠
"Archdemon Crown",罪魔邪冠
"Scare Mask",幽懼之面
"Plague Mask",疫災之面
"Iron Mask",鐵鍛之面
"Festival Mask",節慶之面
"Golden Mask",黃金之面
"Raven Mask",禍鴉之面
"Callous Mask",無情之面
"Regicide Mask",弒君之面
"Harlequin Mask",鷹喙之面
"Vaal Mask",瓦爾之面
"Deicide Mask",弒神之面
"Gale Crown",颶風之冠
"Winter Crown",凜冬之冠
"Blizzard Crown",暴雪之冠
