"30% increased Fire Damage with Attack Skills","攻擊技能增加 30% 火焰傷害"
"Damage with Weapons Penetrates 8% Fire Resistance","武器造成的傷害穿透 8% 火焰抗性"
"12% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 12% 物理傷害"
"Attacks with Two Handed Melee Weapons deal 12% increased Damage with Ailments","使用雙手近戰武器攻擊增加 12% 異常狀態傷害"
"0.8% of Physical Attack Damage Leeched as Life","0.8% 的物理攻擊傷害偷取生命"
"16% increased Physical Damage with Two Handed Melee Weapons","持近戰雙手武器時增加 16% 物理傷害"
"Attacks with Two Handed Melee Weapons deal 16% increased Damage with Ailments","使用雙手近戰武器攻擊增加 16% 異常狀態傷害"
"0.4% of Physical Attack Damage Leeched as Life","0.4% 的物理攻擊傷害偷取生命"
"3% increased Attack Speed with Two Handed Melee Weapons","使用雙手近戰武器時增加 3% 攻擊速度"
"15% increased Totem Life","增加 15% 圖騰生命"
"Totems have 15% additional Physical Damage Reduction","圖騰有 15% 額外物理傷害減免"
"+3% Chance to Block Attack Damage while wielding a Staff","持長杖時 +3% 攻擊傷害格擋率"
"+3% Chance to Block Spell Damage while wielding a Staff","持長杖時 +3% 法術傷害格擋率"
"+6% Chance to Block Attack Damage while wielding a Staff","持長杖時 +6% 攻擊傷害格擋率"
"+6% Chance to Block Spell Damage while wielding a Staff","持長杖時 +6% 法術傷害格擋率"
"20% chance to gain a Power Charge when you Block","格擋時有 20% 機率獲得暴擊球"
"+2% Chance to Block Spell Damage while holding a Shield","持盾時 +2% 法術傷害格擋率"
"+6% Elemental Resistances while holding a Shield","持盾時 +6% 元素抗性"
"Regenerate 0.6% of Life per second","每秒回復 0.6% 生命"
"+3% Chance to Block Attack Damage while holding a Shield","持盾時 +3% 攻擊傷害格擋率"
"30% increased Block Recovery","增加 30% 格擋恢復"
"+4% Chance to Block Attack Damage while holding a Shield","持盾時 +4% 攻擊傷害格擋率"
"+4% Chance to Block Spell Damage while holding a Shield","持盾時 +4% 法術傷害格擋率"
"+12% Elemental Resistances while holding a Shield","持盾時 +12% 元素抗性"
"Sword Attacks deal 16% increased Damage with Ailments","劍攻擊增加 16% 異常狀態傷害"
"16% increased Physical Damage with Swords","持劍類武器時增加 16% 物理傷害"
"30% increased Critical Strike Chance with Staves","持長杖時增加 30% 暴擊率"
"Staff Attacks deal 30% increased Damage with Hits and Ailments","長杖攻擊增加 30% 擊中和異常狀態傷害"
"10% chance to gain an Endurance Charge on Melee Critical Strike","近戰攻擊暴擊時有 10% 機率獲得 1 個耐力球"
"10% increased Stun Duration with Staves on Enemies","使用長杖類武器時增加 10% 敵人暈眩時間"
"Staff Attacks deal 15% increased Damage with Hits and Ailments","長杖攻擊增加 15% 擊中和異常狀態傷害"
"Mace or Sceptre Attacks deal 16% increased Damage with Ailments","錘或權杖增加 16% 異常狀態傷害"
"16% increased Physical Damage with Maces or Sceptres","錘和權杖增加 16% 物理傷害"
"5% reduced Enemy Stun Threshold with Maces or Sceptres","錘和權杖減少 5% 敵人暈眩門檻"
"Mace or Sceptre Attacks deal 14% increased Damage with Ailments","錘或權杖增加 14% 異常狀態傷害"
"14% increased Physical Damage with Maces or Sceptres","錘和權杖增加 14% 物理傷害"
"8% increased Area of Effect","增加 8% 範圍效果"
"Mace or Sceptre Attacks deal 36% increased Damage with Ailments","錘或權杖增加 36% 異常狀態傷害"
"36% increased Physical Damage with Maces or Sceptres","錘和權杖增加 36% 物理傷害"
